Transaction_ID,Transaction_Date,Customer_Name,City,Account_Type,Transaction_Type,Channel,Status,Amount,Fee,Balance,Credit_Score,Customer_Age,Risk_Score,Email
5001,2025-11-29,Betty Arnold,Seattle,CHECKING ,Deposit,Branch,PENDING,399.54,0.0,12622.15,591.0,68,0.19,
5002,2025-04-29,Sabrina Williams,DALLAS ,Loan,Withdrawal,ATM,PENDING,6751.91,0.0,40566.81,523.0,69,0.78,pherrera@example.org
5003,2025-06-06,Joseph Brown,Chicago,Credit,Deposit,Mobile,Pending,10952.73,5.0,,713.0,26,0.57,lopezveronica@example.org
5004,2026-02-24,Lori Powers,Atlanta,Savings,Transfer,Online,Failed,4187.65,10.0,41788.47,603.0,44,0.4,michael84@example.com
5005,2025-11-15,Jason Wright,Atlanta,CHECKING ,payment ,Online,completed ,8365.32,10.0,16552.0,548.0,35,0.8,anthonycasey@example.org
5006,2026-01-04,Brittney Martin,New York,Checking,Payment,Branch,Pending,2115.96,10.0,28287.72,654.0,68,0.6,benjaminmurphy@example.org
5007,2025-05-17,Cynthia Green,Chicago,CHECKING ,Transfer,Mobile,Failed,8956.23,2.5,19390.15,759.0,54,0.31,gonzalezcharles@example.org
5008,2025-08-22,  CHRISTINA ANDERSON  ,Dallas,Loan,Withdrawal,mobile ,PENDING,6819.51,10.0,43854.72,654.0,53,0.75,shannonroberts@example.net
5009,03/24/2025,Jennifer Rodgers,Dallas,Savings,Fee,Branch,completed ,4879.24,0.0,6037.45,705.0,40,0.3,lgiles@example.net
5010,2025-11-07,Kelly Martinez,Dallas, savings,Withdrawal,Branch,Completed,3994.22,15.0,30526.4,628.0,55,0.74,garciakyle@example.com
5011,09/18/2025,  MATTHEW ROBINSON  ,Seattle,Credit,Deposit,Branch,PENDING,8834.92,0.0,29627.79,523.0,25,0.7,nmorgan@example.org
5012,2025-09-30,Michael Callahan,Atlanta, savings,Transfer,BRANCH,Failed,3663.88,2.5,40471.1,617.0,27,0.18,kimberlyevans@example.net
5013,04/17/2025,Andrew Garcia,DALLAS ,Savings,Withdrawal,Mobile,Completed,2894.06,5.0,22706.37,736.0,32,0.34,gcobb@example.net
5014,08/24/2025,Joseph Brown,DALLAS ,Checking,Withdrawal,mobile ,completed ,6111.05,2.5,11080.49,725.0,24,0.24,clarkleslie@example.org
5015,10/31/2025,Richard Simmons,Dallas,Checking,Withdrawal,Mobile,PENDING,4468.2,0.0,29169.42,797.0,24,0.74,marytaylor@example.com
5016,02/13/2026,  CHARLES CASE II  ,Chicago,Savings,payment ,Branch,Failed,12930.74,2.5,6434.39,811.0,36,0.59,coliver@example.com
5017,2025-03-31,Matthew Jones,Dallas,Loan,Withdrawal,ATM,Failed,10083.56,0.0,23132.62,557.0,21,0.49,agutierrez@example
5018,2026-01-08,Jessica Fitzgerald,Dallas,Checking,Transfer,ATM,Failed,12510.33,10.0,15474.6,790.0,21,0.67,lfuller@example
5019,2025-08-19,Richard Lynch, new york, savings,Withdrawal,ATM,Pending,10771.24,0.0,,655.0,53,0.52,ronaldmorris@example
5020,2025-04-09,  DANIEL LIN  ,Chicago,CHECKING ,Transfer,Mobile,Failed,8286.41,2.5,28264.89,577.0,25,0.9,kevin97@example.org
5021,2025-04-20,Amber Leblanc,Dallas,Checking,payment ,BRANCH,Failed,3761.71,0.0,18007.09,806.0,47,0.93,osbornejennifer@example.org
5022,2026-02-22,Megan Sellers,Dallas,Loan,payment ,Branch,Completed,12964.36,15.0,12784.28,601.0,65,0.19,kimberly26@example.org
5023,2025-06-22,Patrick Butler,Chicago,CHECKING ,Withdrawal,Mobile,Completed,5992.03,0.0,43285.47,662.0,43,0.65,jwhite@example.com
5024,2025-10-11,Lisa Carter, new york, savings,Transfer,BRANCH,Pending,5201.66,15.0,16027.03,830.0,53,0.2,joan23@example.net
5025,05/21/2025,Kim Fields DVM,Dallas,Credit,Transfer,Online,completed ,1072.86,10.0,46078.16,839.0,41,0.66,vsellers@example.com
5026,2025-09-05,Bridget Byrd,Seattle,CHECKING ,payment ,Online,Pending,13544.51,5.0,28670.71,727.0,56,0.81,michael50@example.net
